1.0.-Etxebizitzen salerosketa kopurua. 2018ko 2. hiruhilekoa;;;;;;;;;
1.0.- Número de compraventas de vivienda. 02 trimestre 2018;;;;;;;;;
;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;
EUSKADI/PAÍS VASCO;Portugal;8,00;0,00;0,07;;;;;
EUSKADI/PAÍS VASCO;Marruecos;6,00;0,00;0,05;;;;;
EUSKADI/PAÍS VASCO;Francia;5,00;0,00;0,04;;;;;
EUSKADI/PAÍS VASCO;Italia;4,00;0,00;0,03;;;;;
EUSKADI/PAÍS VASCO;Bolivia;4,00;0,00;0,03;;;;;
EUSKADI/PAÍS VASCO;Costa de Marfil;4,00;0,00;0,03;;;;;
EUSKADI/PAÍS VASCO;Argentina;4,00;0,00;0,03;;;;;
EUSKADI/PAÍS VASCO;Estados Unidos;4,00;0,00;0,03;;;;;
EUSKADI/PAÍS VASCO;Ucrania;3,00;0,00;0,02;;;;;
EUSKADI/PAÍS VASCO;Paraguay;3,00;0,00;0,02;;;;;
EUSKADI/PAÍS VASCO;Alemania;3,00;0,00;0,02;;;;;
EUSKADI/PAÍS VASCO;Ecuador;3,00;0,00;0,02;;;;;
EUSKADI/PAÍS VASCO;Bulgaria;3,00;0,00;0,02;;;;;
EUSKADI/PAÍS VASCO;Mexico;2,00;0,00;0,02;;;;;
EUSKADI/PAÍS VASCO;Peru;2,00;0,00;0,02;;;;;
EUSKADI/PAÍS VASCO;Suecia;2,00;0,00;0,02;;;;;
EUSKADI/PAÍS VASCO;Moldavia;2,00;0,00;0,02;;;;;
EUSKADI/PAÍS VASCO;Irlanda;2,00;0,00;0,02;;;;;
EUSKADI/PAÍS VASCO;El Salvador;1,00;0,00;0,01;;;;;
EUSKADI/PAÍS VASCO;Brasil;1,00;0,00;0,01;;;;;
EUSKADI/PAÍS VASCO;Bosnia-Herzegovina;1,00;0,00;0,01;;;;;
EUSKADI/PAÍS VASCO;Republica Dominicana;1,00;0,00;0,01;;;;;
EUSKADI/PAÍS VASCO;Reino Unido;1,00;0,00;0,01;;;;;
EUSKADI/PAÍS VASCO;Japon;1,00;0,00;0,01;;;;;
EUSKADI/PAÍS VASCO;Anguilla;1,00;0,00;0,01;;;;;
EUSKADI/PAÍS VASCO;Guinea;1,00;0,00;0,01;;;;;
EUSKADI/PAÍS VASCO;Dominica;1,00;0,00;0,01;;;;;
EUSKADI/PAÍS VASCO;Colombia;1,00;0,00;0,01;;;;;
EUSKADI/PAÍS VASCO;Libano;1,00;0,00;0,01;;;;;
EUSKADI/PAÍS VASCO;Albania;1,00;0,00;0,01;;;;;
EUSKADI/PAÍS VASCO;Pakistan;1,00;0,00;0,01;;;;;
EUSKADI/PAÍS VASCO;Gainerakoa/Resto;18,00;0,00;0,15;;;;;
;;;;;;;;;
;;;;;;;;;
