1.0.-Etxebizitza salerosketak. 2012ko 4. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 04 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;
1.5.-Etxebizitzen edukiaren batez besteko aldia (egunak/%). 2012ko 4. hiruhilekoa;;;;;;;;;;
1.5.- Periodo medio de posesión de las viviendas (días/%). 04 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;< 2 urte             < 2 años;2 - 5 urte       2 - 5 años;5 - 10 urte       5 - 10 años;>10 urte          >10 años;;;;
Nazionala/Nacional;ESPAÑA;3.324,00;13,98;15,54;41,07;29,41;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;5.206,00;8,49;10,11;32,35;49,05;;;;
;;;;;;;;;;
2.1.-Salerosketa-banaketa (%). 2012ko 4. hiruhilekoa;;;;;;;;;;
2.1.- Distribución de compraventas (%). 04 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;LIBRE BERRIA NUEVA LIBRE;BERRIA BABESTUA NUEVA VPO;LIBRE ERABILIA USADA LIBRE;ERABILIA BABESTUA USADA VPO;;;;;
Nazionala/Nacional;ESPAÑA;43,56;6,50;45,25;4,69;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;31,16;13,81;46,80;8,23;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;48,95;6,86;39,23;4,96;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;30,48;9,35;51,42;8,75;;;;;
