1.0.-Etxebizitzen salerosketa kopurua. 2023ko 1. hiruhilekoa;;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2023;;;;;;;;
;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;247.822,00;311.484,00;233.329,00;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;162.573,00;183.772,00;156.771,00;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;129.119,00;188.801,00;116.835,00;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;108.840,00;143.402,00;102.265,00;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;315.798,00;262.259,00;331.840,00;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;173.023,00;170.166,00;173.845,00;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;145.902,00;171.176,00;142.041,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;110.274,00;143.408,00;102.317,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;95.610,00;114.526,00;91.453,00;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;213.942,00;241.488,00;208.223,00;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;80.668,00;129.708,00;73.920,00;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;126.461,00;132.055,00;124.894,00;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;307.629,00;334.900,00;299.453,00;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;106.503,00;131.508,00;101.595,00;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;177.214,00;192.973,00;170.594,00;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;120.464,00;133.726,00;118.312,00;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;136.667,00;184.881,00;128.699,00;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;225.235,00;232.833,00;223.685,00;;;;
Lurraldea/TTHH;GIPUZKOA;273.333,00;305.046,00;266.153,00;;;;
Lurraldea/TTHH;BIZKAIA;235.948,00;330.034,00;213.981,00;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;242.086,00;251.393,00;240.905,00;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;416.062,00;495.484,00;397.645,00;;;;
Hiriburak/Capitales de TTHH;Bilbao;227.386,00;304.768,00;223.557,00;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;186.691,00;216.872,00;173.792,00;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;238.370,00;257.250,00;234.121,00;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;239.118,00;331.858,00;209.524,00;;;;
Eskualde Egitura/Áreas funcionales;Araba Erdialdea;233.665,00;239.772,00;232.936,00;;;;
Eskualde Egitura/Áreas funcionales;Enkarterri;179.976,00; n.d. ; n.d. ;;;;
Eskualde Egitura/Áreas funcionales;Goierri;162.540,00; n.d. ; n.d. ;;;;
Eskualde Egitura/Áreas funcionales;Bilbo Metropolitarra;240.833,00;366.509,00;215.810,00;;;;
Eskualde Egitura/Áreas funcionales;Donostialdea-Bidasoa Behera;320.375,00;378.041,00;308.826,00;;;;
Eskualde Egitura/Áreas funcionales;Durangaldea;228.744,00;257.318,00;210.100,00;;;;
Eskualde Egitura/Áreas funcionales;Debabarrena;189.577,00;228.313,00;158.589,00;;;;
Eskualde Egitura/Áreas funcionales;Busturialdea-Artibai;200.359,00;188.942,00;202.416,00;;;;
Eskualde Egitura/Áreas funcionales;Arratia;225.753,00; n.d. ; n.d. ;;;;
Eskualde Egitura/Áreas funcionales;Arabako Errioxa;98.345,00; n.d. ; n.d. ;;;;
Eskualde Egitura/Áreas funcionales;Aiara;200.221,00;228.905,00;178.344,00;;;;
Eskualde Egitura/Áreas funcionales;Debagoiena;188.317,00;217.338,00;160.113,00;;;;
Eskualde Egitura/Áreas funcionales;Mungialdea;287.853,00;298.914,00;280.940,00;;;;
Eskualde Egitura/Áreas funcionales;Tolosaldea;196.907,00; n.d. ; n.d. ;;;;
Eskualde Egitura/Áreas funcionales;Urola Kostaldea;335.275,00;433.917,00;329.327,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;147.064,00; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;350.181,00; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;237.721,00; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;183.698,00; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;214.889,00; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;237.929,00;186.470,00;266.284,00;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;353.700,00; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;535.060,00; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;400.777,00; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;488.007,00; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;409.266,00; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;353.499,00;547.665,00;249.135,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;243.501,00; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;195.502,00; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;149.379,00; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;185.790,00; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;182.006,00;113.506,00;189.834,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;453.279,00; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;190.188,00; n.d. ; n.d. ;;;;
