1.0.-Etxebizitzen salerosketa kopurua. 2018ko 1. hiruhilekoa;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2018;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;
EUSKADI/PAÍS VASCO;Reino Unido;2,00;0,00;0,02;;;
EUSKADI/PAÍS VASCO;Francia;2,00;0,00;0,02;;;
EUSKADI/PAÍS VASCO;Paraguay;2,00;0,00;0,02;;;
EUSKADI/PAÍS VASCO;Rusia;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Qatar;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Polonia;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Peru;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Noruega;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Nicaragua;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Nepal;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Mexico;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Japon;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Chile;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Argentina;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Moldavia;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Uzbekistan;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Venezuela;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Gainerakoa/Resto;18,00;0,00;0,18;;;
;;;;;;;
;;;;;;;
1.5.-Etxebizitzen jabetzaren batez besteko aldia (egunak/%). 2018ko 1. hiruhilekoa;;;;;;;
1.5.- Periodo medio de posesión de las viviendas (días/%). 01 trimestre 2018;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;< 2 urte             < 2 años;2 - 5 urte       2 - 5 años;5 - 10 urte       5 - 10 años;>10 urte          >10 años;
Nazionala/Nacional;ESPAÑA;5.313,00;8,74;9,37;14,75;67,14;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;6.879,00;3,74;6,12;15,09;75,05;
;;;;;;;
;;;;;;;
2.1.-Salerosketa-banaketa (%). 2018ko 1. hiruhilekoa;;;;;;;
2.1.- Distribución de compraventas (%). 01 trimestre 2018;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;LIBRE BERRIA NUEVA LIBRE;BERRIA BABESTUA NUEVA VPO;LIBRE ERABILIA USADA LIBRE;ERABILIA BABESTUA USADA VPO;;
Nazionala/Nacional;ESPAÑA;15,39;1,89;75,42;7,30;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;15,66;5,43;73,50;5,41;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;15,64;1,71;74,83;7,82;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;15,50;1,54;71,49;11,47;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;20,38;5,39;62,18;12,05;;
