1.0.-Etxebizitzen salerosketa kopurua. 2017ko 4. hiruhilekoa;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 04 trimestre 2017;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;
EUSKADI/PAÍS VASCO;Estados Unidos;4,00;0,00;0,04;;;;;;;
EUSKADI/PAÍS VASCO;Irlanda;3,00;0,00;0,03;;;;;;;
EUSKADI/PAÍS VASCO;Portugal;3,00;0,00;0,03;;;;;;;
EUSKADI/PAÍS VASCO;Alemania;3,00;0,00;0,03;;;;;;;
EUSKADI/PAÍS VASCO;Brasil;2,00;0,00;0,02;;;;;;;
EUSKADI/PAÍS VASCO;Bulgaria;2,00;0,00;0,02;;;;;;;
EUSKADI/PAÍS VASCO;Pakistan;2,00;0,00;0,02;;;;;;;
EUSKADI/PAÍS VASCO;Marruecos;2,00;0,00;0,02;;;;;;;
EUSKADI/PAÍS VASCO;Colombia;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Australia;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Polonia;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Egipto;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Malta;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Nepal;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Republica Dominicana;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Anguilla;1,00;0,00;0,01;;;;;;;
