1.0.-Etxebizitzen salerosketa kopurua. 2019ko 1. hiruhilekoa;;;;;;;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2019;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
ESPAÑA;España;117.934,00;0,88;-;;;;;;;;;;;;;
ESPAÑA;Reino Unido;2.307,00;0,02;0,14;;;;;;;;;;;;;
ESPAÑA;Francia;1.239,00;0,01;0,08;;;;;;;;;;;;;
ESPAÑA;Alemania;1.120,00;0,01;0,07;;;;;;;;;;;;;
ESPAÑA;Marruecos;1.008,00;0,01;0,06;;;;;;;;;;;;;
ESPAÑA;Rumania;994,00;0,01;0,06;;;;;;;;;;;;;
ESPAÑA;Belgica;912,00;0,01;0,06;;;;;;;;;;;;;
ESPAÑA;Italia;801,00;0,01;0,05;;;;;;;;;;;;;
ESPAÑA;Suecia;736,00;0,01;0,04;;;;;;;;;;;;;
ESPAÑA;China;732,00;0,01;0,04;;;;;;;;;;;;;
ESPAÑA;Rusia;546,00;0,00;0,03;;;;;;;;;;;;;
ESPAÑA;Holanda;434,00;0,00;0,03;;;;;;;;;;;;;
ESPAÑA;Noruega;311,00;0,00;0,02;;;;;;;;;;;;;
ESPAÑA;Ucrania;282,00;0,00;0,02;;;;;;;;;;;;;
ESPAÑA;Polonia;264,00;0,00;0,02;;;;;;;;;;;;;
ESPAÑA;Argelia;233,00;0,00;0,01;;;;;;;;;;;;;
ESPAÑA;Irlanda;211,00;0,00;0,01;;;;;;;;;;;;;
ESPAÑA;Dinamarca;178,00;0,00;0,01;;;;;;;;;;;;;
ESPAÑA;Bulgaria;178,00;0,00;0,01;;;;;;;;;;;;;
ESPAÑA;Suiza;152,00;0,00;0,01;;;;;;;;;;;;;
ESPAÑA;Argentina;136,00;0,00;0,01;;;;;;;;;;;;;
ESPAÑA;Gainerakoa/Resto;3.674,00;0,03;0,22;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
