1.0.-Etxebizitzen salerosketa kopurua. 2016ko 3. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 03 trimestre 2016;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;
ESPAÑA;Ucrania;242,00;0,00;0,02;;EUSKADI/PAÍS VASCO;Republica Checa;1,00;0,03%;1,08%
ESPAÑA;Irlanda;181,00;0,00;0,01;;EUSKADI/PAÍS VASCO;Suiza;1,00;0,03%;1,08%
ESPAÑA;Polonia;174,00;0,00;0,01;;EUSKADI/PAÍS VASCO;Venezuela;1,00;0,03%;1,08%
ESPAÑA;Argelia;172,00;0,00;0,01;;EUSKADI/PAÍS VASCO;Sudafrica;1,00;0,03%;1,08%
ESPAÑA;Suiza;157,00;0,00;0,01;;EUSKADI/PAÍS VASCO;Peru;1,00;0,03%;1,08%
ESPAÑA;Dinamarca;152,00;0,00;0,01;;EUSKADI/PAÍS VASCO;Alemania;1,00;0,03%;1,08%
ESPAÑA;Bulgaria;138,00;0,00;0,01;;EUSKADI/PAÍS VASCO;Nepal;1,00;0,03%;1,08%
ESPAÑA;Finlandia;110,00;0,00;0,01;;EUSKADI/PAÍS VASCO;Anguilla;1,00;0,03%;1,08%
ESPAÑA;Gainerakoa/Resto;2.463,00;0,02;0,18;;EUSKADI/PAÍS VASCO;Argentina;1,00;0,03%;1,08%
;;;;;;EUSKADI/PAÍS VASCO;Holanda;1,00;0,03%;1,08%
;;;;;;EUSKADI/PAÍS VASCO;Chile;1,00;0,03%;1,08%
;;;;;;EUSKADI/PAÍS VASCO;Gainerakoa/Resto;13,00;0,35%;13,98%
;;;;;;;;;;
;;;;;;;;;;
1.5.-Etxebizitzen jabetzaren batez besteko aldia (egunak/%). 2016ko 3. hiruhilekoa;;;;;;;;;;
1.5.- Periodo medio de posesión de las viviendas (días/%). 03 trimestre 2016;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;< 2 urte             < 2 años;2 - 5 urte       2 - 5 años;5 - 10 urte       5 - 10 años;>10 urte          >10 años;;;;
Nazionala/Nacional;ESPAÑA;4.804,00;8,56;9,68;23,53;58,23;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;6.320,00;4,63;6,56;19,00;69,81;;;;
;;;;;;;;;;
;;;;;;;;;;
2.1.-Salerosketa-banaketa (%). 2016ko 3. hiruhilekoa;;;;;;;;;;
