1.0.-Etxebizitza salerosketak. 2021ko 1. hiruhilekoa;;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 1 trimestre 2021;;;;;;;;;;;;
;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1,09;1,40;0,20;26,45;-0,26;0,29;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;3,95;1,60;-0,20;26,45;-0,26;0,29;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;8,53;1,50;-0,20;26,45;-0,26;0,29;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2,89;1,60;-2,90;26,45;-0,26;0,29;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;-3,27;0,40;-3,00;26,45;-0,26;0,29;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1,26;1,50;0,60;26,45;-0,26;0,29;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;0,33;1,50;1,20;26,45;-0,26;0,29;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;1,19;1,60;0,50;26,45;-0,26;0,29;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;1,30;1,30;-0,70;26,45;-0,26;0,29;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;0,92;1,60;-0,70;26,45;-0,26;0,29;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;0,88;1,70;0,10;26,45;-0,26;0,29;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;1,23;0,90;0,00;26,45;-0,26;0,29;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;-0,76;1,40;1,50;26,45;-0,26;0,29;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;-1,16;1,80;0,00;26,45;-0,26;0,29;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;-2,63;1,20;-0,30;26,45;-0,26;0,29;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;0,39;1,70;0,20;26,45;-0,26;0,29;;;;;
;;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1.4.- Atzerritarren salerosketak. 2021ko 1. hiruhilekoa;;;;;;;;;;;;
1.4.- Compraventas de extranjeros. 1 trimestre 2021;;;;;;;;;;;;
;;;;;;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA NUMERO TOTAL;Guztiaren% %Total;Atzerritaren% % Extranjeros;;;;;;;;
ESPAÑA;España;114.992,00;0,02;-;;;;;;;;
ESPAÑA;Reino Unido;1.487,00;0,00;0,00;;;;;;;;
ESPAÑA;Marruecos;1.072,00;0,00;0,00;;;;;;;;
ESPAÑA;Francia;1.006,00;0,00;0,00;;;;;;;;
ESPAÑA;Alemania;877,00;0,00;0,00;;;;;;;;
ESPAÑA;Belgica;793,00;0,00;0,00;;;;;;;;
ESPAÑA;Rumania;719,00;0,00;0,00;;;;;;;;
ESPAÑA;Italia;595,00;0,00;0,00;;;;;;;;
ESPAÑA;Suecia;585,00;0,00;0,00;;;;;;;;
ESPAÑA;Holanda;372,00;0,00;0,00;;;;;;;;
ESPAÑA;Rusia;276,00;0,00;0,00;;;;;;;;
ESPAÑA;China;250,00;0,00;0,00;;;;;;;;
ESPAÑA;Polonia;188,00;0,00;0,00;;;;;;;;
ESPAÑA;Irlanda;142,00;0,00;0,00;;;;;;;;
ESPAÑA;Ucrania;140,00;0,00;0,00;;;;;;;;
ESPAÑA;Bulgaria;131,00;0,00;0,00;;;;;;;;
ESPAÑA;Argentina;117,00;0,00;0,00;;;;;;;;
ESPAÑA;Noruega;117,00;0,00;0,00;;;;;;;;
ESPAÑA;Portugal;114,00;0,00;0,00;;;;;;;;
ESPAÑA;Suiza;113,00;0,00;0,00;;;;;;;;
ESPAÑA;Dinamarca;110,00;0,00;0,00;;;;;;;;
ESPAÑA;Gainerakoa/Resto;2.922,00;0,00;0,00;;;;;;;;
;;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
